,config,type,scheduling,modulation,periodicity,bias,modem,iteration,index,throughput,latency
319,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,19,,7.89
320,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,20,,16.1
321,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,21,,14.2
322,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,22,,12.7
323,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,23,,11.0
324,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,24,,10.5
325,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,25,,8.15
326,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,26,,10.4
327,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,27,,14.2
328,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,28,,12.8
329,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,29,,10.9
335,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,5,10.0,
336,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,6,9.66,
337,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,7,9.92,
338,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,8,9.68,
339,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,9,10.0,
340,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,10,7.76,
341,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,11,9.8,
342,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,12,9.94,
343,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,13,9.8,
344,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,14,9.68,
345,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,15,9.95,
346,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,16,9.65,
347,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,17,9.85,
348,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,18,7.83,
349,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,19,9.81,
350,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,20,9.88,
351,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,3,1,21,9.78,
